index,ID_SITE_RATTACHE,HOSPI_CODE_UCD,MONTH,QUANTITY,N_UFS,DATE,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD,TREND,SEASONAL,RESID
70,HOSPI_3,3400893022634,1,3500.0,1.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,46.71701388888897,0.0
72,HOSPI_1,3400893736135,1,1865.0,4.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,57.1666666666665,0.0
74,HOSPI_3,3400893736135,1,4920.0,6.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-6.516203703704335,0.0
75,HOSPI_4,3400893736135,1,2500.0,1.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,890.2604166666671,0.0
76,HOSPI_1,3400893826706,1,2915.0,3.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,436.8732638888888,0.0
78,HOSPI_3,3400893826706,1,7690.0,8.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,262.41550925925924,0.0
79,HOSPI_4,3400893826706,1,6550.0,1.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,1000.005787037037,0.0
80,HOSPI_1,3400893875490,1,9928.0,10.0,2016-01-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-5.583333333332689,0.0
82,HOSPI_3,3400893875490,1,14235.0,16.0,2016-01-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,1171.237268518518,0.0
83,HOSPI_4,3400893875490,1,25670.0,1.0,2016-01-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,2947.724537037038,0.0
84,HOSPI_1,3400890837149,2,1382.0,3.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-304.1817129629629,0.0
86,HOSPI_3,3400890837149,2,3540.0,5.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-516.4525462962961,0.0
87,HOSPI_4,3400890837149,2,15800.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,43.34490740740948,0.0
88,HOSPI_1,3400891191226,2,3810.0,8.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,136.3524305555555,0.0
90,HOSPI_3,3400891191226,2,5010.0,10.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,97.66319444444451,0.0
91,HOSPI_4,3400891191226,2,8460.0,2.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,394.8611111111106,0.0
92,HOSPI_1,3400891225037,2,12970.0,8.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-1586.7754629629626,0.0
94,HOSPI_3,3400891225037,2,7990.0,8.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-2244.780092592593,0.0
95,HOSPI_4,3400891225037,2,26360.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-517.0601851851836,0.0
96,HOSPI_1,3400891235203,2,2460.0,6.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-74.20254629629632,0.0
98,HOSPI_3,3400891235203,2,4860.0,11.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,1039.2939814814815,0.0
99,HOSPI_4,3400891235203,2,9150.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-969.9652777777778,0.0
100,HOSPI_1,3400891996128,2,44200.0,21.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-3627.5740740740785,0.0
102,HOSPI_3,3400891996128,2,101760.0,34.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,-2999.762731481489,0.0
103,HOSPI_4,3400891996128,2,172200.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,-311.7690972222076,0.0
104,HOSPI_1,3400892052120,2,3200.0,5.0,2016-02-01,12.0,572744.0,683.0,5273.0,1388.0,105.0,78311.0,0.0,0.0,1177.0,51.0,0.0,-194.32870370370367,0.0
106,HOSPI_3,3400892052120,2,1770.0,3.0,2016-02-01,50.0,1132481.0,1290.0,7336.0,2030.0,506.0,120193.0,787.0,2755.0,1309.0,88.0,0.0,45.72337962962953,0.0
107,HOSPI_4,3400892052120,2,6990.0,1.0,2016-02-01,39.0,1835903.0,2526.0,15604.0,4536.0,470.0,247827.0,0.0,22.0,7902.0,163.0,0.0,52.82986111111113,0.0
