CODE_ATC,DATE,HOSPI_CODE_UCD,ID_SITE_RATTACHE,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
11,2017-04-01,3400892508566,HOSPI_3,1694.0,327.0,4,3.0,6330.0,858668.0,1061.0,4340.0,1446.6666666666667,99125.0,1015.0,120.0,1190.0,13,2017,3
11,2017-04-01,3400892508566,HOSPI_4,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,7650.0,3996.6666666666665,99125.0,1015.0,285.0,1190.0,13,2017,3
12,2017-04-01,3400892669236,HOSPI_1,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,9773.5,7985.666666666667,99125.0,1015.0,122.0,1190.0,13,2017,3
12,2017-04-01,3400892669236,HOSPI_2,1694.0,327.0,4,15.0,6330.0,858668.0,1061.0,7494.0,7225.833333333333,99125.0,1015.0,0.0,1190.0,13,2017,3
12,2017-04-01,3400892669236,HOSPI_3,1694.0,327.0,4,14.0,6330.0,858668.0,1061.0,10746.0,9337.833333333334,99125.0,1015.0,120.0,1190.0,13,2017,3
12,2017-04-01,3400892669236,HOSPI_4,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,9773.5,9337.833333333334,99125.0,1015.0,285.0,1190.0,13,2017,3
13,2017-04-01,3400892697789,HOSPI_1,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,0.0,540.0,99125.0,1015.0,122.0,1190.0,13,2017,3
13,2017-04-01,3400892697789,HOSPI_2,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,600.0,710.0,99125.0,1015.0,0.0,1190.0,13,2017,3
13,2017-04-01,3400892697789,HOSPI_3,1694.0,327.0,4,3.0,6330.0,858668.0,1061.0,2200.0,933.3333333333334,99125.0,1015.0,120.0,1190.0,13,2017,3
13,2017-04-01,3400892697789,HOSPI_4,1694.0,327.0,4,2.0,6330.0,858668.0,1061.0,1290.0,1363.3333333333333,99125.0,1015.0,285.0,1190.0,13,2017,3
6,2017-04-01,3400892729589,HOSPI_1,1694.0,327.0,4,4.0,6330.0,858668.0,1061.0,0.0,176.66666666666666,99125.0,1015.0,122.0,1190.0,13,2017,3
6,2017-04-01,3400892729589,HOSPI_2,1694.0,327.0,4,8.5,6330.0,858668.0,1061.0,4590.0,1530.0,99125.0,1015.0,0.0,1190.0,13,2017,3
6,2017-04-01,3400892729589,HOSPI_3,1694.0,327.0,4,10.0,6330.0,858668.0,1061.0,7010.0,3866.6666666666665,99125.0,1015.0,120.0,1190.0,13,2017,3
6,2017-04-01,3400892729589,HOSPI_4,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,5395.0,5665.0,99125.0,1015.0,285.0,1190.0,13,2017,3
14,2017-04-01,3400892745848,HOSPI_1,1694.0,327.0,4,8.0,6330.0,858668.0,1061.0,0.0,630.0,99125.0,1015.0,122.0,1190.0,13,2017,3
14,2017-04-01,3400892745848,HOSPI_2,1694.0,327.0,4,12.0,6330.0,858668.0,1061.0,3490.0,1783.3333333333333,99125.0,1015.0,0.0,1190.0,13,2017,3
14,2017-04-01,3400892745848,HOSPI_3,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,200.0,1230.0,99125.0,1015.0,120.0,1190.0,13,2017,3
14,2017-04-01,3400892745848,HOSPI_4,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,10680.0,4790.0,99125.0,1015.0,285.0,1190.0,13,2017,3
15,2017-04-01,3400892761527,HOSPI_1,1694.0,327.0,4,7.0,6330.0,858668.0,1061.0,0.0,1410.0,99125.0,1015.0,122.0,1190.0,13,2017,3
15,2017-04-01,3400892761527,HOSPI_2,1694.0,327.0,4,14.0,6330.0,858668.0,1061.0,10840.0,3796.6666666666665,99125.0,1015.0,0.0,1190.0,13,2017,3
15,2017-04-01,3400892761527,HOSPI_3,1694.0,327.0,4,24.0,6330.0,858668.0,1061.0,7925.0,6255.0,99125.0,1015.0,120.0,1190.0,13,2017,3
15,2017-04-01,3400892761527,HOSPI_4,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,6250.0,8338.333333333334,99125.0,1015.0,285.0,1190.0,13,2017,3
15,2017-04-01,3400892761695,HOSPI_1,1694.0,327.0,4,1.0,6330.0,858668.0,1061.0,0.0,980.0,99125.0,1015.0,122.0,1190.0,13,2017,3
15,2017-04-01,3400892761695,HOSPI_2,1694.0,327.0,4,15.5,6330.0,858668.0,1061.0,14850.0,5036.666666666667,99125.0,1015.0,0.0,1190.0,13,2017,3
15,2017-04-01,3400892761695,HOSPI_3,1694.0,327.0,4,12.0,6330.0,858668.0,1061.0,24640.0,13163.333333333334,99125.0,1015.0,120.0,1190.0,13,2017,3
