CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_SLD,SEJ_SSR,WEEK,YEAR
4,2017-09-01,3400892088310,1360.0,106.0,9,5.0,5303.0,572443.0,806.0,2424.0,2198.0,80667.0,122.0,1239.0,35,2017
13,2017-09-01,3400892065366,1360.0,106.0,9,5.0,5303.0,572443.0,806.0,4995.0,4910.0,80667.0,122.0,1239.0,35,2017
18,2017-09-01,3400892508566,1360.0,106.0,9,3.0,5303.0,572443.0,806.0,2330.0,3074.0,80667.0,122.0,1239.0,35,2017
14,2017-09-01,3400892761695,1360.0,106.0,9,2.5,5303.0,572443.0,806.0,1830.0,1658.3333333333333,80667.0,122.0,1239.0,35,2017
3,2017-09-01,3400892729589,1360.0,106.0,9,6.0,5303.0,572443.0,806.0,3830.0,4151.666666666667,80667.0,122.0,1239.0,35,2017
12,2017-09-01,3400893875490,1360.0,106.0,9,14.0,5303.0,572443.0,806.0,9103.0,8487.333333333334,80667.0,122.0,1239.0,35,2017
5,2017-09-01,3400892075761,1360.0,106.0,9,6.0,5303.0,572443.0,806.0,1430.0,1266.6666666666667,80667.0,122.0,1239.0,35,2017
3,2017-09-01,3400892052120,1360.0,106.0,9,4.5,5303.0,572443.0,806.0,3040.0,2916.6666666666665,80667.0,122.0,1239.0,35,2017
1,2017-09-01,3400890837149,1360.0,106.0,9,4.0,5303.0,572443.0,806.0,2640.0,2666.6666666666665,80667.0,122.0,1239.0,35,2017
12,2017-09-01,3400891996128,1360.0,106.0,9,19.0,5303.0,572443.0,806.0,59890.0,56496.666666666664,80667.0,122.0,1239.0,35,2017
8,2017-09-01,3400892697789,1360.0,106.0,9,2.0,5303.0,572443.0,806.0,1022.0,1034.0,80667.0,122.0,1239.0,35,2017
9,2017-09-01,3400892203645,1360.0,106.0,9,3.0,5303.0,572443.0,806.0,1125.0,1291.6666666666667,80667.0,122.0,1239.0,35,2017
16,2017-09-01,3400891191226,1360.0,106.0,9,8.0,5303.0,572443.0,806.0,2590.0,2590.0,80667.0,122.0,1239.0,35,2017
16,2017-10-01,3400891191226,1360.0,106.0,10,5.0,5303.0,572443.0,806.0,3230.0,2706.6666666666665,80667.0,122.0,1239.0,39,2017
11,2017-10-01,3400891225037,1360.0,106.0,10,11.0,5303.0,572443.0,806.0,16980.0,16350.0,80667.0,122.0,1239.0,39,2017
13,2017-10-01,3400892065366,1360.0,106.0,10,5.0,5303.0,572443.0,806.0,4914.0,4999.666666666667,80667.0,122.0,1239.0,39,2017
10,2017-10-01,3400891235203,1360.0,106.0,10,4.0,5303.0,572443.0,806.0,1660.0,1704.0,80667.0,122.0,1239.0,39,2017
5,2017-10-01,3400892075761,1360.0,106.0,10,4.0,5303.0,572443.0,806.0,1190.0,1243.3333333333333,80667.0,122.0,1239.0,39,2017
12,2017-10-01,3400893875490,1360.0,106.0,10,12.0,5303.0,572443.0,806.0,10725.0,9018.0,80667.0,122.0,1239.0,39,2017
7,2017-10-01,3400893736135,1360.0,106.0,10,6.0,5303.0,572443.0,806.0,2320.0,1931.6666666666667,80667.0,122.0,1239.0,39,2017
6,2017-10-01,3400892745848,1360.0,106.0,10,8.0,5303.0,572443.0,806.0,9410.0,7257.0,80667.0,122.0,1239.0,39,2017
9,2017-10-01,3400892203645,1360.0,106.0,10,4.0,5303.0,572443.0,806.0,1270.0,1298.3333333333333,80667.0,122.0,1239.0,39,2017
14,2017-10-01,3400892761695,1360.0,106.0,10,3.0,5303.0,572443.0,806.0,1550.0,1656.6666666666667,80667.0,122.0,1239.0,39,2017
4,2017-10-01,3400892088310,1360.0,106.0,10,5.0,5303.0,572443.0,806.0,2928.0,2440.0,80667.0,122.0,1239.0,39,2017
8,2017-10-01,3400892697789,1360.0,106.0,10,2.0,5303.0,572443.0,806.0,960.0,1044.0,80667.0,122.0,1239.0,39,2017
18,2017-10-01,3400892508566,1360.0,106.0,10,4.0,5303.0,572443.0,806.0,4010.0,3378.3333333333335,80667.0,122.0,1239.0,39,2017
12,2017-10-01,3400891996128,1360.0,106.0,10,20.0,5303.0,572443.0,806.0,65880.0,58766.666666666664,80667.0,122.0,1239.0,39,2017
3,2017-10-01,3400892052120,1360.0,106.0,10,4.0,5303.0,572443.0,806.0,3390.0,3120.0,80667.0,122.0,1239.0,39,2017
1,2017-10-01,3400890837149,1360.0,106.0,10,4.0,5303.0,572443.0,806.0,3010.0,2740.0,80667.0,122.0,1239.0,39,2017
14,2017-10-01,3400892761527,1360.0,106.0,10,5.0,5303.0,572443.0,806.0,5192.0,4892.666666666667,80667.0,122.0,1239.0,39,2017
15,2017-10-01,3400893022634,1360.0,106.0,10,8.0,5303.0,572443.0,806.0,3337.0,3270.0,80667.0,122.0,1239.0,39,2017
3,2017-10-01,3400892729589,1360.0,106.0,10,5.0,5303.0,572443.0,806.0,4520.0,4145.0,80667.0,122.0,1239.0,39,2017
17,2017-10-01,3400892669236,1360.0,106.0,10,2.0,5303.0,572443.0,806.0,6418.0,2139.3333333333335,80667.0,122.0,1239.0,39,2017
2,2017-10-01,3400893826706,1360.0,106.0,10,4.0,5303.0,572443.0,806.0,4003.0,3763.6666666666665,80667.0,122.0,1239.0,39,2017
6,2017-11-01,3400892745848,1360.0,106.0,11,7.0,5303.0,572443.0,806.0,5840.0,7253.0,80667.0,122.0,1239.0,44,2017
13,2017-11-01,3400892065366,1360.0,106.0,11,4.5,5303.0,572443.0,806.0,4606.0,4838.333333333333,80667.0,122.0,1239.0,44,2017
14,2017-11-01,3400892761695,1360.0,106.0,11,2.0,5303.0,572443.0,806.0,1600.0,1660.0,80667.0,122.0,1239.0,44,2017
18,2017-11-01,3400892508566,1360.0,106.0,11,2.0,5303.0,572443.0,806.0,2640.0,2993.3333333333335,80667.0,122.0,1239.0,44,2017
17,2017-11-01,3400892669236,1360.0,106.0,11,13.0,5303.0,572443.0,806.0,9345.0,5254.333333333333,80667.0,122.0,1239.0,44,2017
12,2017-11-01,3400891996128,1360.0,106.0,11,20.0,5303.0,572443.0,806.0,58120.0,61296.666666666664,80667.0,122.0,1239.0,44,2017
16,2017-11-01,3400891191226,1360.0,106.0,11,7.0,5303.0,572443.0,806.0,2550.0,2790.0,80667.0,122.0,1239.0,44,2017
5,2017-11-01,3400892075761,1360.0,106.0,11,5.0,5303.0,572443.0,806.0,1345.0,1321.6666666666667,80667.0,122.0,1239.0,44,2017
12,2017-11-01,3400893875490,1360.0,106.0,11,13.0,5303.0,572443.0,806.0,8378.0,9402.0,80667.0,122.0,1239.0,44,2017
3,2017-11-01,3400892052120,1360.0,106.0,11,4.0,5303.0,572443.0,806.0,3030.0,3153.3333333333335,80667.0,122.0,1239.0,44,2017
8,2017-11-01,3400892697789,1360.0,106.0,11,2.0,5303.0,572443.0,806.0,1020.0,1000.6666666666666,80667.0,122.0,1239.0,44,2017
4,2017-11-01,3400892088310,1360.0,106.0,11,5.0,5303.0,572443.0,806.0,1942.0,2431.3333333333335,80667.0,122.0,1239.0,44,2017
7,2017-11-01,3400893736135,1360.0,106.0,11,5.0,5303.0,572443.0,806.0,2280.0,2122.6666666666665,80667.0,122.0,1239.0,44,2017
10,2017-11-01,3400891235203,1360.0,106.0,11,4.0,5303.0,572443.0,806.0,970.0,1474.0,80667.0,122.0,1239.0,44,2017
14,2017-11-01,3400892761527,1360.0,106.0,11,4.5,5303.0,572443.0,806.0,6263.0,5394.666666666667,80667.0,122.0,1239.0,44,2017
