CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_SLD,SEJ_SSR,WEEK,YEAR
9,2017-08-01,3400892203645,2027.0,521.0,8,8.0,7356.0,1144892.0,1316.0,4455.0,4773.333333333333,117583.0,120.0,1141.0,31,2017
6,2017-08-01,3400892745848,2027.0,521.0,8,1.0,7356.0,1144892.0,1316.0,500.0,336.6666666666667,117583.0,120.0,1141.0,31,2017
14,2017-08-01,3400892761527,2027.0,521.0,8,16.0,7356.0,1144892.0,1316.0,24780.0,27828.333333333332,117583.0,120.0,1141.0,31,2017
13,2017-08-01,3400892065366,2027.0,521.0,8,6.0,7356.0,1144892.0,1316.0,6440.0,7393.333333333333,117583.0,120.0,1141.0,31,2017
4,2017-08-01,3400892088310,2027.0,521.0,8,6.0,7356.0,1144892.0,1316.0,4537.0,4545.666666666667,117583.0,120.0,1141.0,31,2017
14,2017-08-01,3400892761695,2027.0,521.0,8,11.0,7356.0,1144892.0,1316.0,25445.0,26205.0,117583.0,120.0,1141.0,31,2017
3,2017-08-01,3400892052120,2027.0,521.0,8,2.0,7356.0,1144892.0,1316.0,1600.0,1726.6666666666667,117583.0,120.0,1141.0,31,2017
16,2017-08-01,3400891191226,2027.0,521.0,8,10.0,7356.0,1144892.0,1316.0,6200.0,6726.666666666667,117583.0,120.0,1141.0,31,2017
2,2017-08-01,3400893826706,2027.0,521.0,8,8.0,7356.0,1144892.0,1316.0,8075.0,7867.0,117583.0,120.0,1141.0,31,2017
11,2017-08-01,3400891225037,2027.0,521.0,8,9.0,7356.0,1144892.0,1316.0,11450.0,10633.333333333334,117583.0,120.0,1141.0,31,2017
7,2017-08-01,3400893736135,2027.0,521.0,8,7.0,7356.0,1144892.0,1316.0,5390.0,4951.666666666667,117583.0,120.0,1141.0,31,2017
10,2017-08-01,3400891235203,2027.0,521.0,8,1.0,7356.0,1144892.0,1316.0,1220.0,1050.0,117583.0,120.0,1141.0,31,2017
12,2017-08-01,3400891996128,2027.0,521.0,8,26.0,7356.0,1144892.0,1316.0,94510.0,99850.0,117583.0,120.0,1141.0,31,2017
1,2017-08-01,3400890837149,2027.0,521.0,8,4.0,7356.0,1144892.0,1316.0,3460.0,3740.0,117583.0,120.0,1141.0,31,2017
12,2017-08-01,3400893875490,2027.0,521.0,8,16.0,7356.0,1144892.0,1316.0,13985.0,13925.0,117583.0,120.0,1141.0,31,2017
15,2017-08-01,3400893022634,2027.0,521.0,8,2.0,7356.0,1144892.0,1316.0,4200.0,4036.0,117583.0,120.0,1141.0,31,2017
10,2017-09-01,3400891235203,2027.0,521.0,9,1.0,7356.0,1144892.0,1316.0,1530.0,1303.3333333333333,117583.0,120.0,1141.0,35,2017
14,2017-09-01,3400892761527,2027.0,521.0,9,20.0,7356.0,1144892.0,1316.0,27415.0,26528.333333333332,117583.0,120.0,1141.0,35,2017
2,2017-09-01,3400893826706,2027.0,521.0,9,7.0,7356.0,1144892.0,1316.0,6932.0,7720.0,117583.0,120.0,1141.0,35,2017
15,2017-09-01,3400893022634,2027.0,521.0,9,2.0,7356.0,1144892.0,1316.0,3700.0,3764.3333333333335,117583.0,120.0,1141.0,35,2017
6,2017-09-01,3400892745848,2027.0,521.0,9,1.0,7356.0,1144892.0,1316.0,470.0,363.3333333333333,117583.0,120.0,1141.0,35,2017
11,2017-09-01,3400891225037,2027.0,521.0,9,9.0,7356.0,1144892.0,1316.0,10300.0,10560.0,117583.0,120.0,1141.0,35,2017
17,2017-09-01,3400892669236,2027.0,521.0,9,13.0,7356.0,1144892.0,1316.0,10670.0,10056.666666666666,117583.0,120.0,1141.0,35,2017
7,2017-09-01,3400893736135,2027.0,521.0,9,7.0,7356.0,1144892.0,1316.0,5140.0,5210.0,117583.0,120.0,1141.0,35,2017
4,2017-09-01,3400892088310,2027.0,521.0,9,5.0,7356.0,1144892.0,1316.0,4733.0,4712.666666666667,117583.0,120.0,1141.0,35,2017
13,2017-09-01,3400892065366,2027.0,521.0,9,9.0,7356.0,1144892.0,1316.0,7650.0,7300.0,117583.0,120.0,1141.0,35,2017
18,2017-09-01,3400892508566,2027.0,521.0,9,4.5,7356.0,1144892.0,1316.0,5020.0,4310.0,117583.0,120.0,1141.0,35,2017
14,2017-09-01,3400892761695,2027.0,521.0,9,12.0,7356.0,1144892.0,1316.0,25000.0,25428.333333333332,117583.0,120.0,1141.0,35,2017
3,2017-09-01,3400892729589,2027.0,521.0,9,9.0,7356.0,1144892.0,1316.0,6490.0,6193.333333333333,117583.0,120.0,1141.0,35,2017
12,2017-09-01,3400893875490,2027.0,521.0,9,17.0,7356.0,1144892.0,1316.0,13992.0,13780.0,117583.0,120.0,1141.0,35,2017
5,2017-09-01,3400892075761,2027.0,521.0,9,7.5,7356.0,1144892.0,1316.0,2880.0,2386.6666666666665,117583.0,120.0,1141.0,35,2017
3,2017-09-01,3400892052120,2027.0,521.0,9,3.0,7356.0,1144892.0,1316.0,1640.0,1670.0,117583.0,120.0,1141.0,35,2017
1,2017-09-01,3400890837149,2027.0,521.0,9,5.0,7356.0,1144892.0,1316.0,3660.0,3670.0,117583.0,120.0,1141.0,35,2017
12,2017-09-01,3400891996128,2027.0,521.0,9,30.0,7356.0,1144892.0,1316.0,104410.0,100806.66666666667,117583.0,120.0,1141.0,35,2017
8,2017-09-01,3400892697789,2027.0,521.0,9,2.5,7356.0,1144892.0,1316.0,1520.0,1810.0,117583.0,120.0,1141.0,35,2017
9,2017-09-01,3400892203645,2027.0,521.0,9,10.0,7356.0,1144892.0,1316.0,5455.0,5133.333333333333,117583.0,120.0,1141.0,35,2017
16,2017-09-01,3400891191226,2027.0,521.0,9,12.0,7356.0,1144892.0,1316.0,6260.0,6256.666666666667,117583.0,120.0,1141.0,35,2017
16,2017-10-01,3400891191226,2027.0,521.0,10,12.0,7356.0,1144892.0,1316.0,6010.0,6156.666666666667,117583.0,120.0,1141.0,39,2017
11,2017-10-01,3400891225037,2027.0,521.0,10,8.0,7356.0,1144892.0,1316.0,10080.0,10610.0,117583.0,120.0,1141.0,39,2017
13,2017-10-01,3400892065366,2027.0,521.0,10,8.0,7356.0,1144892.0,1316.0,7760.0,7283.333333333333,117583.0,120.0,1141.0,39,2017
10,2017-10-01,3400891235203,2027.0,521.0,10,1.0,7356.0,1144892.0,1316.0,950.0,1233.3333333333333,117583.0,120.0,1141.0,39,2017
5,2017-10-01,3400892075761,2027.0,521.0,10,6.0,7356.0,1144892.0,1316.0,2670.0,2416.6666666666665,117583.0,120.0,1141.0,39,2017
12,2017-10-01,3400893875490,2027.0,521.0,10,18.0,7356.0,1144892.0,1316.0,15286.0,14421.0,117583.0,120.0,1141.0,39,2017
7,2017-10-01,3400893736135,2027.0,521.0,10,6.0,7356.0,1144892.0,1316.0,4790.0,5106.666666666667,117583.0,120.0,1141.0,39,2017
6,2017-10-01,3400892745848,2027.0,521.0,10,2.0,7356.0,1144892.0,1316.0,380.0,450.0,117583.0,120.0,1141.0,39,2017
9,2017-10-01,3400892203645,2027.0,521.0,10,9.0,7356.0,1144892.0,1316.0,5990.0,5300.0,117583.0,120.0,1141.0,39,2017
14,2017-10-01,3400892761695,2027.0,521.0,10,13.0,7356.0,1144892.0,1316.0,28175.0,26206.666666666668,117583.0,120.0,1141.0,39,2017
4,2017-10-01,3400892088310,2027.0,521.0,10,8.0,7356.0,1144892.0,1316.0,4692.0,4654.0,117583.0,120.0,1141.0,39,2017
8,2017-10-01,3400892697789,2027.0,521.0,10,3.0,7356.0,1144892.0,1316.0,1960.0,1950.0,117583.0,120.0,1141.0,39,2017
18,2017-10-01,3400892508566,2027.0,521.0,10,2.0,7356.0,1144892.0,1316.0,4450.0,4416.666666666667,117583.0,120.0,1141.0,39,2017
12,2017-10-01,3400891996128,2027.0,521.0,10,32.0,7356.0,1144892.0,1316.0,113160.0,104026.66666666667,117583.0,120.0,1141.0,39,2017
3,2017-10-01,3400892052120,2027.0,521.0,10,2.0,7356.0,1144892.0,1316.0,1270.0,1503.3333333333333,117583.0,120.0,1141.0,39,2017
1,2017-10-01,3400890837149,2027.0,521.0,10,5.0,7356.0,1144892.0,1316.0,3760.0,3626.6666666666665,117583.0,120.0,1141.0,39,2017
14,2017-10-01,3400892761527,2027.0,521.0,10,22.0,7356.0,1144892.0,1316.0,30240.0,27478.333333333332,117583.0,120.0,1141.0,39,2017
15,2017-10-01,3400893022634,2027.0,521.0,10,2.0,7356.0,1144892.0,1316.0,3300.0,3733.3333333333335,117583.0,120.0,1141.0,39,2017
3,2017-10-01,3400892729589,2027.0,521.0,10,8.0,7356.0,1144892.0,1316.0,7020.0,6566.666666666667,117583.0,120.0,1141.0,39,2017
17,2017-10-01,3400892669236,2027.0,521.0,10,12.0,7356.0,1144892.0,1316.0,9425.0,10104.333333333334,117583.0,120.0,1141.0,39,2017
2,2017-10-01,3400893826706,2027.0,521.0,10,6.0,7356.0,1144892.0,1316.0,8520.0,7842.333333333333,117583.0,120.0,1141.0,39,2017
6,2017-11-01,3400892745848,2027.0,521.0,11,1.0,7356.0,1144892.0,1316.0,600.0,483.3333333333333,117583.0,120.0,1141.0,44,2017
13,2017-11-01,3400892065366,2027.0,521.0,11,7.5,7356.0,1144892.0,1316.0,7360.0,7590.0,117583.0,120.0,1141.0,44,2017
14,2017-11-01,3400892761695,2027.0,521.0,11,13.0,7356.0,1144892.0,1316.0,26140.0,26438.333333333332,117583.0,120.0,1141.0,44,2017
18,2017-11-01,3400892508566,2027.0,521.0,11,3.0,7356.0,1144892.0,1316.0,4190.0,4553.333333333333,117583.0,120.0,1141.0,44,2017
17,2017-11-01,3400892669236,2027.0,521.0,11,10.0,7356.0,1144892.0,1316.0,9765.0,9953.333333333334,117583.0,120.0,1141.0,44,2017
12,2017-11-01,3400891996128,2027.0,521.0,11,28.5,7356.0,1144892.0,1316.0,101390.0,106320.0,117583.0,120.0,1141.0,44,2017
16,2017-11-01,3400891191226,2027.0,521.0,11,13.0,7356.0,1144892.0,1316.0,7520.0,6596.666666666667,117583.0,120.0,1141.0,44,2017
5,2017-11-01,3400892075761,2027.0,521.0,11,6.0,7356.0,1144892.0,1316.0,1950.0,2500.0,117583.0,120.0,1141.0,44,2017
12,2017-11-01,3400893875490,2027.0,521.0,11,17.0,7356.0,1144892.0,1316.0,14076.0,14451.333333333334,117583.0,120.0,1141.0,44,2017
3,2017-11-01,3400892052120,2027.0,521.0,11,4.0,7356.0,1144892.0,1316.0,1650.0,1520.0,117583.0,120.0,1141.0,44,2017
