ID_REF,ID_SITE_RATTACHE,CODE_ATC,HOSPI_CODE_UCD,DATE_MOUV,N_UFS,QUANTITY,WEEK,MONTH,YEAR,N_ETB,POPULATION,P_MEDICAL,PN_MEDICAL,LIT_HC,LIT_HP,SEJ_MCO,SEJ_HAD,SEJ_PSY,SEJ_SSR,SEJ_SLD
503129,HOSPI_3,N02BE01,3400891996128,2014-08-20,41,6870.0,34,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-21,27,2910.0,34,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-22,34,5470.0,34,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-25,31,5320.0,35,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-26,38,2930.0,35,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-27,45,6450.0,35,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-28,40,4020.0,35,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-08-29,36,6720.0,35,8,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-01,29,5570.0,36,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-02,46,4490.0,36,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-03,32,3940.0,36,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-04,33,4870.0,36,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-05,31,3370.0,36,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-08,30,7360.0,37,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-09,36,2950.0,37,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-10,42,4060.0,37,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-11,27,4250.0,37,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-12,47,6280.0,37,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-15,32,5090.0,38,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-16,34,3900.0,38,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-17,33,4040.0,38,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-18,42,6200.0,38,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-19,30,4530.0,38,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-22,41,7570.0,39,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-23,43,4700.0,39,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-24,38,5310.0,39,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-25,37,4280.0,39,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-26,37,6900.0,39,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-29,21,2770.0,40,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-09-30,38,4800.0,40,9,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-01,42,5090.0,40,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-02,36,4620.0,40,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-03,37,5500.0,40,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-06,41,6610.0,41,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-07,45,4660.0,41,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-08,33,3760.0,41,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-09,48,6220.0,41,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-10,36,5320.0,41,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-13,41,8230.0,42,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-14,38,3930.0,42,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-15,17,1580.0,42,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-16,37,4330.0,42,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-17,38,7940.0,42,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-20,20,2190.0,43,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-21,50,6720.0,43,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-22,27,2590.0,43,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-23,57,6010.0,43,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-24,21,2960.0,43,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-27,36,5770.0,44,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-28,33,6110.0,44,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-29,66,8440.0,44,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-30,32,4120.0,44,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-10-31,46,6030.0,44,10,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-11-03,45,7150.0,45,11,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-11-04,30,3060.0,45,11,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-11-05,38,4360.0,45,11,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-11-06,37,5400.0,45,11,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
503129,HOSPI_3,N02BE01,3400891996128,2014-11-07,34,4380.0,45,11,2014,50,1107398.0,1158,7129,2063.0,521.0,117781,594,2903,1302,97
