HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490
3400893875490,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,29990.0,0.19189916338043786,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3400892065366,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,16890.0,0.15475351454060157,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891191226,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10240.0,0.16532659877690978,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892508566,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,9050.0,0.1731938246920353,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400892203645,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8350.0,0.14630573207052533,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3400892075761,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,11610.0,0.18364395157573007,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893826706,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,7550.0,0.20233760121662542,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400891225037,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,25200.0,0.14834040437058602,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400890837149,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,11600.0,0.14371341967196866,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892052120,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,10560.0,0.14763772740828038,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891225037,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,23840.0,0.16352143990558748,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761527,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,3950.0,0.13433423712832926,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3400892065366,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,14100.0,0.1381106807136027,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892745848,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,12480.0,0.1459880391351587,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3400891996128,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,180600.0,0.14246285260452132,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892075761,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8790.0,0.1739344263328929,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3400890837149,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,15600.0,0.14141137404793255,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892203645,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,7600.0,0.14825276652773767,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3400891235203,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6750.0,0.2031968470100683,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892697789,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10350.0,0.15429737562403348,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3400892669236,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,17910.0,0.1469847345120324,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3400892508566,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6100.0,0.1682345301523955,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400892052120,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,7500.0,0.15744253178277665,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
