CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SSR,WEEK,YEAR,CLUSTER
17,2017-06-01,3400892669236,1157.0,187.0,6,13.0,5001.0,539067.0,714.0,7737.0,7777.0,75420.0,1236.0,261.0,22,2017,3
11,2017-06-01,3400891225037,1157.0,187.0,6,8.0,5001.0,539067.0,714.0,13832.0,13873.333333333334,75420.0,1236.0,261.0,22,2017,2
10,2017-06-01,3400891235203,1157.0,187.0,6,4.5,5001.0,539067.0,714.0,1400.0,1421.0,75420.0,1236.0,261.0,22,2017,2
15,2017-06-01,3400893022634,1157.0,187.0,6,5.0,5001.0,539067.0,714.0,4691.0,4965.333333333333,75420.0,1236.0,261.0,22,2017,5
13,2017-06-01,3400892065366,1157.0,187.0,6,5.0,5001.0,539067.0,714.0,5114.0,5175.666666666667,75420.0,1236.0,261.0,22,2017,0
12,2017-06-01,3400893875490,1157.0,187.0,6,11.5,5001.0,539067.0,714.0,9263.0,9288.333333333334,75420.0,1236.0,261.0,22,2017,1
16,2017-06-01,3400891191226,1157.0,187.0,6,4.0,5001.0,539067.0,714.0,2530.0,2583.333333333333,75420.0,1236.0,261.0,22,2017,2
6,2017-06-01,3400892745848,1157.0,187.0,6,8.5,5001.0,539067.0,714.0,3700.0,3703.3333333333335,75420.0,1236.0,261.0,22,2017,3
7,2017-06-01,3400893736135,1157.0,187.0,6,6.0,5001.0,539067.0,714.0,3920.0,3920.0,75420.0,1236.0,261.0,22,2017,7
12,2017-06-01,3400891996128,1157.0,187.0,6,25.0,5001.0,539067.0,714.0,62510.0,63982.0,75420.0,1236.0,261.0,22,2017,0
14,2017-06-01,3400892761695,1157.0,187.0,6,15.0,5001.0,539067.0,714.0,16475.0,15598.333333333334,75420.0,1236.0,261.0,22,2017,3
