CODE_ATC,DATE,HOSPI_CODE_UCD,LIT_HC,LIT_HP,MONTH,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,WEEK,YEAR,CLUSTER
14,2017-07-01,3400892761527,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,6800.0,7150.0,254570.0,5.0,285.0,8464.0,26,2017,3
1,2017-07-01,3400890837149,4500.0,467.0,7,2.0,15650.0,1843319.0,2556.0,17000.0,17466.666666666668,254570.0,5.0,285.0,8464.0,26,2017,4
3,2017-07-01,3400892052120,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,7530.0,8650.0,254570.0,5.0,285.0,8464.0,26,2017,0
12,2017-07-01,3400891996128,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,198600.0,202333.3333333333,254570.0,5.0,285.0,8464.0,26,2017,5
17,2017-07-01,3400892669236,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,24930.0,25860.0,254570.0,5.0,285.0,8464.0,26,2017,3
18,2017-07-01,3400892508566,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,7600.0,7700.0,254570.0,5.0,285.0,8464.0,26,2017,3
13,2017-07-01,3400892065366,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,15780.0,19230.0,254570.0,5.0,285.0,8464.0,26,2017,0
12,2017-07-01,3400893875490,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,21310.0,21960.0,254570.0,5.0,285.0,8464.0,26,2017,1
11,2017-07-01,3400891225037,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,22760.0,26840.0,254570.0,5.0,285.0,8464.0,26,2017,2
14,2017-07-01,3400892761695,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,11580.0,9720.0,254570.0,5.0,285.0,8464.0,26,2017,3
3,2017-07-01,3400892729589,4500.0,467.0,7,1.0,15650.0,1843319.0,2556.0,17250.0,18530.0,254570.0,5.0,285.0,8464.0,26,2017,3
