HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_HAD,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490,CLUSTER
3400891235203,2063.0,521.0,8.0,7129.0,1107398.0,1158.0,4100.0,0.1049946694825072,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400893826706,2063.0,521.0,3.5,7129.0,1107398.0,1158.0,7110.0,0.1210740004454796,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
3400891191226,2063.0,521.0,9.0,7129.0,1107398.0,1158.0,5790.0,0.122678679026396,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400891996128,2063.0,521.0,25.0,7129.0,1107398.0,1158.0,91590.0,0.1141812857000876,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400892669236,2063.0,521.0,10.5,7129.0,1107398.0,1158.0,10266.0,0.1200098638962169,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
3400891225037,2063.0,521.0,6.0,7129.0,1107398.0,1158.0,6160.0,0.0632560958765544,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400892203645,2063.0,521.0,8.0,7129.0,1107398.0,1158.0,4420.0,0.1002041462412361,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5
3400892075761,2063.0,521.0,6.5,7129.0,1107398.0,1158.0,3150.0,0.128725607744584,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400892052120,2063.0,521.0,5.0,7129.0,1107398.0,1158.0,2660.0,0.1433820081094843,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3400893826706,2063.0,521.0,4.0,7129.0,1107398.0,1158.0,3950.0,0.1031371114905938,594.0,117781.0,2903.0,97.0,1302.0,2014.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
