HOSPI_CODE_UCD,LIT_HC,LIT_HP,N_UFS,PN_MEDICAL,POPULATION,P_MEDICAL,QUANTITY,QUANTITY_MA,SEJ_MCO,SEJ_PSY,SEJ_SLD,SEJ_SSR,YEAR,MONTH_1.0,MONTH_2.0,MONTH_3.0,MONTH_4.0,MONTH_5.0,MONTH_6.0,MONTH_7.0,MONTH_8.0,MONTH_9.0,MONTH_10.0,MONTH_11.0,MONTH_12.0,UCD_3400890837149,UCD_3400891191226,UCD_3400891225037,UCD_3400891235203,UCD_3400891996128,UCD_3400892052120,UCD_3400892065366,UCD_3400892075761,UCD_3400892088310,UCD_3400892203645,UCD_3400892508566,UCD_3400892669236,UCD_3400892697789,UCD_3400892729589,UCD_3400892745848,UCD_3400892761527,UCD_3400892761695,UCD_3400893022634,UCD_3400893736135,UCD_3400893826706,UCD_3400893875490,CLUSTER
3400892761695,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10160.0,0.1716659875228782,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
3400892052120,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,6990.0,0.1219001159252276,247827.0,22.0,163.0,7902.0,2016.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892745848,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,9780.0,0.1515419319283441,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
3400893736135,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,5240.0,0.1248586008119438,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
3400892761527,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,4550.0,0.1428991717103368,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
3400892761695,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,7940.0,0.1635621156794558,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
3400892697789,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,11040.0,0.1375320990829322,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
3400892669236,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,20868.0,0.1506941695014886,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3400892729589,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,19440.0,0.1581140011800991,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
3400891235203,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8850.0,0.2118173193074651,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400891996128,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,182200.0,0.1340748528717317,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400893875490,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,29990.0,0.1918991633804378,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
3400892065366,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,16890.0,0.1547535145406015,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400891191226,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,10240.0,0.1653265987769097,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892508566,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,9050.0,0.1731938246920353,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
3400892203645,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,8350.0,0.1463057320705253,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
3400892075761,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,11610.0,0.18364395157573,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400893826706,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,7550.0,0.2023376012166254,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
3400891225037,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,25200.0,0.148340404370586,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400890837149,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,11600.0,0.1437134196719686,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892052120,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,10560.0,0.1476377274082803,247827.0,22.0,163.0,7902.0,2016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400891225037,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,23840.0,0.1635214399055874,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3400892761527,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,3950.0,0.1343342371283292,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
3400892065366,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,14100.0,0.1381106807136027,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3400892745848,4536.0,470.0,1.0,15604.0,1835903.0,2526.0,12480.0,0.1459880391351587,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
3400891996128,4536.0,470.0,2.0,15604.0,1835903.0,2526.0,180600.0,0.1424628526045213,247827.0,22.0,163.0,7902.0,2016.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
